x0,x1,x2,y
1.000000,-0.082325,6.243290,3.000000
1.000000,4.189836,2.050092,2.000000
1.000000,3.538351,-0.031608,2.000000
1.000000,-0.588079,2.543357,3.000000
1.000000,3.799544,0.055244,2.000000
1.000000,1.872059,-1.466684,1.000000
1.000000,0.821746,0.378221,1.000000
1.000000,5.683735,1.019333,2.000000
1.000000,4.400442,0.278550,2.000000
1.000000,-1.274365,4.131823,3.000000
1.000000,-0.802474,0.268960,1.000000
1.000000,1.211232,4.881929,3.000000
1.000000,1.596229,3.214189,3.000000
1.000000,-0.542766,0.498625,1.000000
1.000000,1.499343,5.576156,3.000000
1.000000,5.317672,1.114929,2.000000
1.000000,0.180260,-1.589753,1.000000
1.000000,2.626529,4.089820,2.000000
1.000000,0.022576,4.609891,3.000000
1.000000,4.207944,3.283837,2.000000
1.000000,-2.111528,-1.231369,1.000000
1.000000,1.854267,2.723473,2.000000
1.000000,5.268863,1.129427,2.000000
1.000000,1.260431,0.080123,1.000000
1.000000,5.669840,2.123122,2.000000
1.000000,3.669951,1.028561,2.000000
1.000000,1.830871,1.431200,1.000000
1.000000,-2.029866,0.892352,1.000000
1.000000,-0.867784,5.704521,3.000000
1.000000,3.211338,3.541968,2.000000
1.000000,0.737526,5.684646,3.000000
1.000000,3.032708,2.401572,2.000000
1.000000,1.472510,5.407453,3.000000
1.000000,3.907152,3.977959,2.000000
1.000000,4.643742,0.721325,2.000000
1.000000,6.420906,3.213940,2.000000
1.000000,0.052482,-2.381836,1.000000
1.000000,5.702789,4.204743,2.000000
1.000000,-0.828774,1.411059,1.000000
1.000000,2.314043,4.570751,3.000000
1.000000,0.298914,0.613993,1.000000
1.000000,4.075696,3.355863,2.000000
1.000000,0.000442,2.420732,3.000000
1.000000,2.802852,1.259356,2.000000
1.000000,1.908881,0.704543,1.000000
1.000000,4.569658,4.907082,2.000000
1.000000,-0.745578,5.379853,3.000000
1.000000,5.503302,1.931745,2.000000
1.000000,-1.369702,-0.920110,1.000000
1.000000,1.234303,1.809884,1.000000
1.000000,2.019988,-1.249475,1.000000
1.000000,3.783589,1.767508,2.000000
1.000000,-1.557916,-0.359018,1.000000
1.000000,1.974733,1.688968,2.000000
1.000000,6.165431,2.573078,2.000000
1.000000,0.222816,5.300140,3.000000
1.000000,1.316626,6.118825,3.000000
1.000000,-0.306959,1.449731,1.000000
1.000000,2.451446,5.270144,3.000000
1.000000,2.637731,3.175395,2.000000
1.000000,0.825974,6.400465,3.000000
1.000000,-1.119208,6.103388,3.000000
1.000000,0.630758,1.672510,1.000000
1.000000,0.571858,6.572757,3.000000
1.000000,1.733541,6.271544,3.000000
1.000000,2.155182,0.990913,1.000000
1.000000,4.730980,1.309523,2.000000
1.000000,0.121194,-0.148056,1.000000
1.000000,-1.849885,1.643300,1.000000
1.000000,6.056254,3.854149,2.000000
1.000000,2.027599,-1.567068,1.000000
1.000000,3.994718,3.165760,2.000000
1.000000,2.297701,0.724959,1.000000
1.000000,4.228212,1.953090,2.000000
1.000000,-2.292738,0.165957,1.000000
1.000000,-0.989317,-1.597954,1.000000
1.000000,-1.832748,3.525584,3.000000
1.000000,4.305266,3.018506,2.000000
1.000000,0.141609,3.776293,3.000000
1.000000,4.826563,2.821527,2.000000
1.000000,3.559105,1.021961,2.000000
1.000000,0.842853,6.024977,3.000000
1.000000,4.186311,0.041301,2.000000
1.000000,0.108916,3.330113,3.000000
1.000000,2.450637,2.539533,2.000000
1.000000,2.025150,-1.591440,1.000000
1.000000,-1.148169,5.146304,3.000000
1.000000,4.679231,2.864868,2.000000
1.000000,1.001471,4.950517,3.000000
1.000000,-1.320917,5.522351,3.000000
1.000000,0.443986,1.910258,1.000000
1.000000,4.432153,4.329752,2.000000
1.000000,5.880221,1.334441,2.000000
1.000000,-0.973206,-1.156298,1.000000
1.000000,5.486963,3.694743,2.000000
1.000000,6.086294,1.411745,2.000000
1.000000,-0.791151,-2.434361,1.000000
1.000000,-0.265554,5.011625,3.000000
1.000000,4.500398,1.031191,2.000000
1.000000,2.575867,0.970695,2.000000
1.000000,-2.251061,3.857387,3.000000
1.000000,-0.055355,4.399899,3.000000
1.000000,6.259737,2.980296,2.000000
1.000000,0.215863,-2.058125,1.000000
1.000000,3.721375,1.465842,2.000000
1.000000,2.353507,0.928436,2.000000
1.000000,2.182374,2.028061,2.000000
1.000000,0.804927,5.219041,3.000000
1.000000,-1.030061,5.668997,3.000000
1.000000,0.122010,7.167852,3.000000
1.000000,0.018559,2.687910,3.000000
1.000000,4.764644,1.317391,2.000000
1.000000,-1.804429,3.483967,3.000000
1.000000,-0.546599,0.418296,1.000000
1.000000,-1.502187,6.119147,3.000000
1.000000,-0.924283,5.985889,3.000000
1.000000,-0.940700,2.033087,1.000000
1.000000,0.978636,2.997033,3.000000
1.000000,1.958900,4.861458,3.000000
1.000000,4.971718,2.317399,2.000000
1.000000,-0.155219,3.492130,3.000000
1.000000,1.744987,0.094565,1.000000
1.000000,3.013303,0.558662,2.000000
1.000000,0.875239,-1.958621,1.000000
1.000000,1.423360,1.176243,1.000000
1.000000,-0.119989,1.977712,1.000000
1.000000,6.559460,2.527817,2.000000
1.000000,0.620011,5.559698,3.000000
1.000000,2.208693,1.159789,2.000000
1.000000,3.236878,2.692441,2.000000
1.000000,0.231081,4.748397,3.000000
1.000000,5.389184,0.941502,2.000000
1.000000,-1.477308,-0.487452,1.000000
1.000000,0.468131,1.541033,1.000000
1.000000,-0.146806,-0.612943,1.000000
1.000000,3.810889,1.448972,2.000000
1.000000,0.373774,4.486793,3.000000
1.000000,2.618041,2.501436,2.000000
1.000000,6.034734,3.059744,2.000000
1.000000,1.322806,6.978920,3.000000
1.000000,2.057961,-0.520079,1.000000
1.000000,1.960918,2.883173,2.000000
1.000000,2.288539,1.068994,2.000000
1.000000,-0.808201,1.992833,1.000000
1.000000,6.429802,1.705724,2.000000
1.000000,2.551405,0.922265,2.000000
1.000000,-1.424344,4.512022,3.000000
1.000000,-1.261419,4.014867,3.000000
1.000000,2.418939,2.480395,2.000000
1.000000,2.203194,-0.913017,1.000000
1.000000,-1.138588,-1.987162,1.000000
1.000000,4.538371,1.922177,2.000000
1.000000,-2.484613,-0.252016,1.000000
1.000000,4.643572,2.952325,2.000000
1.000000,-0.663272,2.056999,1.000000
1.000000,4.440613,0.371612,2.000000
1.000000,4.318925,0.934536,2.000000
1.000000,4.180361,2.904246,2.000000
1.000000,4.546528,0.491626,2.000000
1.000000,6.287148,3.068583,2.000000
1.000000,2.885433,3.815860,2.000000
1.000000,-1.557297,0.070208,1.000000
1.000000,-0.908348,5.991543,3.000000
1.000000,1.808155,-1.754970,1.000000
1.000000,1.211246,4.237263,3.000000
1.000000,-0.313152,1.457125,1.000000
1.000000,-1.403440,4.953399,3.000000
1.000000,5.136887,4.743574,2.000000
1.000000,-0.193417,-0.988102,1.000000
1.000000,6.046372,3.110747,2.000000
1.000000,0.306577,3.752148,3.000000
1.000000,1.938013,-0.825645,1.000000
1.000000,1.826035,0.865494,1.000000
1.000000,2.405599,4.121420,2.000000
1.000000,0.906967,0.847794,1.000000
1.000000,2.667872,2.981092,2.000000
1.000000,0.383993,5.839109,3.000000
1.000000,0.205164,5.978239,3.000000
1.000000,5.197411,3.309409,2.000000
1.000000,-1.945525,4.838208,3.000000
1.000000,2.634830,4.620786,2.000000
1.000000,1.967096,3.737227,2.000000
1.000000,1.273718,3.152270,3.000000
1.000000,5.525183,0.638501,2.000000
1.000000,-1.410448,-1.967191,1.000000
1.000000,6.292262,2.395899,2.000000
1.000000,3.807842,3.626969,2.000000
1.000000,6.166133,2.263838,2.000000
1.000000,-1.671521,3.976537,3.000000
1.000000,1.099160,-1.665012,1.000000
1.000000,2.410417,3.108940,2.000000
1.000000,-0.862769,0.041632,1.000000
1.000000,1.345418,-0.754572,1.000000
1.000000,1.678893,3.443114,3.000000
1.000000,5.602633,1.732555,2.000000
1.000000,5.479631,1.209274,2.000000
1.000000,-0.071977,-2.359471,1.000000
1.000000,4.042929,0.825211,2.000000
1.000000,2.134852,0.829499,2.000000
1.000000,-0.438155,-0.359925,1.000000
1.000000,-0.288565,3.776082,3.000000
1.000000,-0.722858,-1.896400,1.000000
1.000000,2.377238,0.342090,1.000000
1.000000,2.069731,1.968397,2.000000
1.000000,0.247339,6.169001,3.000000
1.000000,3.066972,0.967081,2.000000
1.000000,0.082924,-0.193679,1.000000
1.000000,5.970873,2.619707,2.000000
1.000000,-1.045456,2.210194,1.000000
1.000000,5.173589,2.180975,2.000000
1.000000,2.324514,3.822500,2.000000
1.000000,1.212215,-1.932153,1.000000
1.000000,-2.250749,0.357674,1.000000
1.000000,1.434062,4.360364,3.000000
1.000000,2.870222,3.905116,2.000000
1.000000,0.424012,1.051503,1.000000
1.000000,5.108390,0.292452,2.000000
1.000000,1.980811,4.474358,3.000000
1.000000,-0.529821,4.110549,3.000000
1.000000,4.961188,3.195395,2.000000
1.000000,-0.113614,-0.731981,1.000000
1.000000,-0.201394,6.743408,3.000000
1.000000,2.027194,5.649337,3.000000
1.000000,-0.501175,4.706872,3.000000
1.000000,4.361252,4.679824,2.000000
1.000000,0.036476,-1.856759,1.000000
1.000000,1.779160,4.009726,3.000000
1.000000,0.502990,7.352376,3.000000
1.000000,2.161078,0.426962,1.000000
1.000000,-1.425839,3.656698,3.000000
1.000000,-0.515142,4.367899,3.000000
1.000000,1.760905,4.296500,3.000000
1.000000,6.101919,2.027786,2.000000
1.000000,-0.198299,4.292954,3.000000
1.000000,-0.081007,5.350886,3.000000
1.000000,-1.251539,-0.155031,1.000000
1.000000,3.077782,4.460769,2.000000
1.000000,3.516975,1.521603,2.000000
1.000000,0.822537,-1.962663,1.000000
1.000000,4.020224,3.048312,2.000000
1.000000,4.778290,0.286694,2.000000
1.000000,1.379235,6.743557,3.000000
1.000000,-0.812992,5.455607,3.000000
1.000000,-2.330609,0.009397,1.000000
1.000000,0.264624,-0.988171,1.000000
1.000000,-1.438721,5.716020,3.000000
1.000000,1.441199,0.747721,1.000000
1.000000,5.689123,3.857606,2.000000
1.000000,-0.775950,5.155197,3.000000
1.000000,1.929799,3.321242,2.000000
1.000000,-2.240865,-1.143558,1.000000
1.000000,3.032411,1.344444,2.000000
1.000000,-2.104354,-0.338090,1.000000
1.000000,1.765558,-1.096402,1.000000
1.000000,2.913921,1.867226,2.000000
1.000000,-0.140875,2.302974,1.000000
1.000000,2.009793,6.601604,3.000000
1.000000,2.548033,0.313544,1.000000
1.000000,3.358324,3.837622,2.000000
1.000000,-1.807442,1.514219,1.000000
1.000000,1.681654,3.916702,3.000000
1.000000,2.291577,3.941148,3.000000
1.000000,4.327834,2.346368,2.000000
1.000000,0.811213,0.422073,1.000000
1.000000,2.856346,2.487741,2.000000
1.000000,0.020111,2.785212,3.000000
1.000000,0.388516,-1.419577,1.000000
1.000000,-0.077714,6.562539,3.000000
1.000000,-1.043382,5.681316,3.000000
1.000000,0.569882,3.693234,3.000000
1.000000,-2.421611,4.179370,3.000000
1.000000,5.163657,0.582039,2.000000
1.000000,4.949893,0.200174,2.000000
1.000000,1.942722,5.184548,3.000000
1.000000,4.034974,2.031919,2.000000
1.000000,-0.388477,3.598002,3.000000
1.000000,0.057179,-0.893704,1.000000
1.000000,-2.091428,0.378861,1.000000
1.000000,0.156235,0.648988,1.000000
1.000000,5.099862,4.788438,2.000000
1.000000,2.099673,6.018246,3.000000
1.000000,6.482957,1.854594,2.000000
1.000000,0.384592,-0.709492,1.000000
1.000000,-0.021203,-0.790642,1.000000
1.000000,0.900752,-1.465293,1.000000
1.000000,1.833765,5.523799,3.000000
1.000000,-1.249340,5.836301,3.000000
1.000000,6.421520,3.012783,2.000000
1.000000,1.366575,1.412613,1.000000
1.000000,0.106638,6.346290,3.000000
1.000000,4.957857,3.649069,2.000000
1.000000,1.779997,6.230156,3.000000
1.000000,0.823208,-0.798678,1.000000
1.000000,5.463207,1.605118,2.000000
1.000000,3.527423,2.570866,2.000000
1.000000,4.471204,3.290352,2.000000
1.000000,-2.437890,-0.198885,1.000000
1.000000,-0.955166,1.835573,1.000000
1.000000,0.496336,1.739753,1.000000
1.000000,0.699209,-0.533075,1.000000
1.000000,2.868795,3.171189,2.000000
1.000000,0.689279,6.641745,3.000000
1.000000,1.261253,6.864285,3.000000
1.000000,0.020265,3.415404,3.000000
1.000000,6.384234,2.073175,2.000000
1.000000,2.165841,2.675144,2.000000
1.000000,5.578530,4.283122,2.000000
1.000000,-1.671161,-0.146351,1.000000
1.000000,0.622093,0.635334,1.000000
1.000000,2.048361,2.690076,2.000000
1.000000,-2.199684,6.367545,3.000000
1.000000,-0.058554,7.380559,3.000000
1.000000,1.778946,3.674431,3.000000
1.000000,2.801378,0.279370,2.000000
1.000000,4.305110,1.554121,2.000000
1.000000,1.742338,3.285058,3.000000
1.000000,-2.023463,6.494503,3.000000
1.000000,1.566485,5.123862,3.000000
1.000000,2.667919,3.300798,2.000000
1.000000,0.634506,5.781721,3.000000
1.000000,0.799178,7.074995,3.000000
1.000000,0.382376,-0.388184,1.000000
1.000000,0.434603,-1.428440,1.000000
1.000000,0.927957,2.810771,3.000000
1.000000,5.001387,3.226812,2.000000
1.000000,0.836492,1.810133,1.000000
1.000000,2.216531,3.510560,2.000000
1.000000,0.594735,-2.428505,1.000000
1.000000,2.147709,0.705377,1.000000
1.000000,1.577351,1.679088,1.000000
1.000000,-2.410228,4.905982,3.000000
1.000000,1.163502,5.171560,3.000000
1.000000,-0.776904,-0.450016,1.000000
1.000000,-0.834283,0.869287,1.000000
1.000000,3.402115,2.063338,2.000000
1.000000,2.481002,2.813006,2.000000
1.000000,-1.407673,6.146166,3.000000
1.000000,6.017588,2.904128,2.000000
1.000000,-1.181599,1.705391,1.000000
1.000000,0.454674,-1.307329,1.000000
1.000000,-1.822439,5.345798,3.000000
1.000000,1.850710,1.201736,1.000000
1.000000,-0.740358,-0.955594,1.000000
1.000000,0.537559,-1.312290,1.000000
1.000000,3.047703,3.725214,2.000000
1.000000,2.430476,3.082876,2.000000
1.000000,1.715474,6.104298,3.000000
1.000000,4.236535,0.585856,2.000000
1.000000,-2.120481,4.809779,3.000000
1.000000,1.742209,5.840988,3.000000
1.000000,0.879449,6.396100,3.000000
1.000000,-0.568299,0.522399,1.000000
1.000000,0.965601,5.673013,3.000000
1.000000,-1.063413,7.248545,3.000000
1.000000,1.523252,4.273548,3.000000
1.000000,-1.823276,4.514009,3.000000
1.000000,-0.765785,4.324452,3.000000
1.000000,-0.963754,2.013877,1.000000
1.000000,-2.033141,0.258248,1.000000
1.000000,1.783075,6.112751,3.000000
1.000000,5.574410,0.578547,2.000000
1.000000,-0.419488,-1.580090,1.000000
1.000000,2.391132,0.699091,2.000000
1.000000,-2.206593,4.644354,3.000000
1.000000,-0.664232,-1.113843,1.000000
1.000000,-1.418313,1.495873,1.000000
1.000000,-1.663951,1.818501,1.000000
1.000000,4.791593,4.757542,2.000000
1.000000,2.532295,0.856419,2.000000
1.000000,-0.801295,-0.391002,1.000000
1.000000,4.192517,2.754782,2.000000
1.000000,4.925844,3.538176,2.000000
1.000000,2.773810,3.436881,2.000000
1.000000,2.002426,4.571834,3.000000
1.000000,4.868713,2.213620,2.000000
1.000000,1.299473,5.341817,3.000000
