x0,x1,x2,y
1.000000,2.314982,1.538513,-1.000000
1.000000,0.649284,0.422866,1.000000
1.000000,0.159814,-0.643481,1.000000
1.000000,2.392775,1.187252,-1.000000
1.000000,1.798237,2.241156,-1.000000
1.000000,-0.247101,-0.721692,1.000000
1.000000,0.080082,-0.969347,1.000000
1.000000,0.328601,0.195281,1.000000
1.000000,0.749076,-0.156541,1.000000
1.000000,1.438814,1.583513,-1.000000
1.000000,2.373867,2.516929,-1.000000
1.000000,1.576681,2.245225,-1.000000
1.000000,1.512150,2.205090,-1.000000
1.000000,-0.709995,-0.265722,1.000000
1.000000,2.842668,2.244034,-1.000000
1.000000,-0.271218,0.034285,1.000000
1.000000,2.544201,1.817541,-1.000000
1.000000,-0.689156,0.143787,1.000000
1.000000,1.415769,1.250823,-1.000000
1.000000,2.137448,2.063083,-1.000000
1.000000,2.318701,2.640935,-1.000000
1.000000,-0.509024,0.003664,1.000000
1.000000,1.267221,2.026577,-1.000000
1.000000,2.416219,1.343244,-1.000000
1.000000,0.049382,0.490784,1.000000
1.000000,-0.239046,0.647626,1.000000
1.000000,0.010537,-0.979491,1.000000
1.000000,0.170562,-0.373315,1.000000
1.000000,2.272511,1.415896,-1.000000
1.000000,-0.777840,-0.014269,1.000000
1.000000,0.038336,0.135011,1.000000
1.000000,1.885004,2.193352,-1.000000
1.000000,0.282724,-0.337346,1.000000
1.000000,1.875069,1.475688,-1.000000
1.000000,-0.689481,0.631709,1.000000
1.000000,1.839994,1.484468,-1.000000
1.000000,0.807906,-0.280774,1.000000
1.000000,0.391600,-0.278058,1.000000
1.000000,0.689434,-0.255515,1.000000
1.000000,0.201179,-0.522178,1.000000
1.000000,-0.597555,-0.064485,1.000000
1.000000,1.351104,2.654237,-1.000000
1.000000,-0.228426,0.850330,1.000000
1.000000,0.642951,-0.571393,1.000000
1.000000,0.052878,-0.593736,1.000000
1.000000,1.473652,2.732417,-1.000000
1.000000,2.136894,2.277904,-1.000000
1.000000,0.104546,0.654437,1.000000
1.000000,-0.727161,-0.442053,1.000000
1.000000,0.637485,-0.026749,1.000000
1.000000,0.896997,0.114187,1.000000
1.000000,0.033285,0.809730,1.000000
1.000000,0.057789,-0.754802,1.000000
1.000000,2.051338,2.623747,-1.000000
1.000000,2.636065,1.831059,-1.000000
1.000000,1.271393,2.043460,-1.000000
1.000000,0.200846,0.805952,1.000000
1.000000,2.378453,1.833964,-1.000000
1.000000,1.704451,2.499437,-1.000000
1.000000,-0.449553,0.516043,1.000000
1.000000,-0.097017,0.270560,1.000000
1.000000,2.524500,2.428636,-1.000000
1.000000,0.503233,0.273107,1.000000
1.000000,-0.183879,-0.178337,1.000000
1.000000,-0.549594,0.799071,1.000000
1.000000,0.680490,0.389373,1.000000
1.000000,0.207243,-0.226000,1.000000
1.000000,1.025246,1.883034,-1.000000
1.000000,2.574891,2.357673,-1.000000
1.000000,1.330837,1.340021,-1.000000
1.000000,2.418956,1.757533,-1.000000
1.000000,1.520862,2.242934,-1.000000
1.000000,-0.933504,0.203724,1.000000
