x0,x1,x2,y
1.000000,1.872202,2.168118,0.000000
1.000000,1.786234,1.688351,0.000000
1.000000,0.094223,0.947578,1.000000
1.000000,0.111177,-0.081718,1.000000
1.000000,1.885558,2.426000,0.000000
1.000000,1.254765,2.424420,0.000000
1.000000,0.845360,0.201614,1.000000
1.000000,1.315877,1.766954,0.000000
1.000000,-0.192516,-0.652287,1.000000
1.000000,1.858796,2.362039,0.000000
1.000000,0.312287,-0.439690,1.000000
1.000000,0.543444,-0.097003,1.000000
1.000000,0.260396,0.557660,1.000000
1.000000,2.898527,1.714007,0.000000
1.000000,0.364630,-0.125321,1.000000
1.000000,1.799009,2.000889,0.000000
1.000000,1.948688,1.837995,0.000000
1.000000,1.293948,1.540959,0.000000
1.000000,-0.493616,-0.804062,1.000000
1.000000,2.074343,2.391324,0.000000
1.000000,1.987950,2.742147,0.000000
1.000000,1.026384,1.986216,0.000000
1.000000,2.541819,2.055811,0.000000
1.000000,0.370264,0.679074,1.000000
1.000000,2.359338,1.352338,0.000000
1.000000,-0.760934,-0.462780,1.000000
1.000000,0.352634,0.899264,1.000000
1.000000,0.527548,0.349570,1.000000
1.000000,-0.050472,0.054956,1.000000
1.000000,0.550548,0.766789,1.000000
1.000000,-0.060496,0.689008,1.000000
1.000000,2.733319,2.415434,0.000000
1.000000,0.412943,0.402270,1.000000
1.000000,0.697227,-0.204344,1.000000
1.000000,1.121281,1.779893,0.000000
1.000000,-0.751258,0.018182,1.000000
1.000000,2.053210,2.138253,0.000000
1.000000,1.698553,1.510665,0.000000
1.000000,1.707238,1.815752,0.000000
1.000000,-0.603131,0.482352,1.000000
1.000000,0.053094,0.467041,1.000000
1.000000,2.019271,2.679492,0.000000
1.000000,0.033164,-0.881879,1.000000
1.000000,2.046215,2.405230,0.000000
1.000000,-0.455556,0.194262,1.000000
1.000000,-0.167307,0.941314,1.000000
1.000000,-0.004676,-0.420649,1.000000
1.000000,0.669688,-0.716005,1.000000
1.000000,2.670065,1.824107,0.000000
1.000000,-0.073813,-0.725687,1.000000
1.000000,1.286051,1.389783,0.000000
1.000000,-0.411866,-0.551556,1.000000
1.000000,2.044449,2.726943,0.000000
1.000000,-0.423627,-0.712003,1.000000
1.000000,1.815572,1.938134,0.000000
1.000000,-0.483600,0.557898,1.000000
1.000000,0.563743,-0.313040,1.000000
1.000000,-0.241472,-0.582397,1.000000
1.000000,0.877992,-0.343830,1.000000
1.000000,1.333885,1.948855,0.000000
1.000000,2.138461,1.157713,0.000000
1.000000,0.467983,0.847870,1.000000
1.000000,-0.931571,-0.196108,1.000000
1.000000,-0.426871,0.032773,1.000000
1.000000,0.029510,-0.282487,1.000000
1.000000,0.729781,0.429353,1.000000
1.000000,0.604214,-0.601390,1.000000
1.000000,2.095414,1.580906,0.000000
1.000000,-0.280044,-0.031663,1.000000
1.000000,1.490302,1.659823,0.000000
1.000000,-0.623285,-0.026471,1.000000
1.000000,2.006681,1.489831,0.000000
1.000000,2.857571,2.120184,0.000000
1.000000,-0.101229,-0.833395,1.000000
1.000000,2.784096,2.280175,0.000000
1.000000,0.175267,0.300323,1.000000
1.000000,-0.420505,0.839933,1.000000
1.000000,2.068267,1.384309,0.000000
1.000000,-0.716153,0.594092,1.000000
1.000000,0.542436,-0.047601,1.000000
1.000000,2.592232,1.747422,0.000000
1.000000,1.643284,1.351454,0.000000
1.000000,0.825946,-0.041028,1.000000
1.000000,1.283147,1.588261,0.000000
1.000000,1.484907,1.935078,0.000000
1.000000,2.056431,1.494897,0.000000
1.000000,2.341214,2.586149,0.000000
1.000000,1.291687,1.976497,0.000000
1.000000,0.264223,0.593588,1.000000
1.000000,2.247443,1.433727,0.000000
1.000000,2.552304,1.601889,0.000000
1.000000,2.142742,2.598061,0.000000
1.000000,-0.447407,0.243633,1.000000
1.000000,1.115001,1.877458,0.000000
1.000000,0.482498,-0.379347,1.000000
1.000000,-0.050518,0.129907,1.000000
1.000000,2.468612,1.384586,0.000000
1.000000,0.838211,-0.483710,1.000000
1.000000,0.050710,0.559177,1.000000
1.000000,0.283840,0.650440,1.000000
1.000000,0.587653,0.091293,1.000000
1.000000,2.489037,2.575711,0.000000
1.000000,1.554588,1.678743,0.000000
1.000000,-0.241684,0.437520,1.000000
1.000000,2.142867,2.012729,0.000000
1.000000,0.583711,-0.685159,1.000000
1.000000,0.754250,-0.610658,1.000000
1.000000,2.244743,2.509307,0.000000
1.000000,1.875471,1.933156,0.000000
1.000000,-0.104072,-0.226290,1.000000
1.000000,1.299669,1.845396,0.000000
1.000000,0.169200,0.061041,1.000000
1.000000,2.497842,2.722150,0.000000
1.000000,0.365998,-0.243367,1.000000
1.000000,-0.428705,-0.368758,1.000000
1.000000,1.591038,1.752712,0.000000
1.000000,0.941382,-0.230836,1.000000
1.000000,-0.345818,0.318230,1.000000
1.000000,2.858608,2.046677,0.000000
1.000000,1.961590,2.450553,0.000000
1.000000,2.156842,2.337988,0.000000
1.000000,2.599578,2.296789,0.000000
1.000000,1.200152,1.701753,0.000000
1.000000,0.647229,0.223687,1.000000
1.000000,2.078552,2.376895,0.000000
1.000000,-0.351365,0.857643,1.000000
1.000000,-0.643915,-0.397560,1.000000
1.000000,1.626561,1.487763,0.000000
1.000000,1.658617,1.213953,0.000000
1.000000,1.623463,2.587928,0.000000
1.000000,-0.070749,0.068476,1.000000
1.000000,2.687509,1.945546,0.000000
1.000000,2.139437,1.614701,0.000000
1.000000,-0.781812,0.467711,1.000000
1.000000,2.130415,1.059815,0.000000
1.000000,-0.691161,0.029974,1.000000
1.000000,-0.038846,-0.451536,1.000000
1.000000,-0.645744,0.492167,1.000000
1.000000,1.428810,2.361575,0.000000
1.000000,1.467662,1.444821,0.000000
1.000000,1.837520,1.089718,0.000000
1.000000,-0.566298,-0.086165,1.000000
1.000000,0.671108,0.038848,1.000000
1.000000,2.050811,1.107320,0.000000
1.000000,0.514129,-0.800365,1.000000
1.000000,0.300995,0.135809,1.000000
1.000000,2.263466,1.946799,0.000000
1.000000,-0.296850,0.675400,1.000000
1.000000,-0.111130,0.517118,1.000000
1.000000,-0.926805,0.073832,1.000000
1.000000,2.163488,1.819897,0.000000
1.000000,-0.360221,-0.732645,1.000000
1.000000,-0.236059,0.869131,1.000000
1.000000,0.515217,0.078655,1.000000
1.000000,2.108663,1.111883,0.000000
1.000000,0.147464,0.411194,1.000000
1.000000,0.430152,-0.049427,1.000000
1.000000,1.515241,1.702291,0.000000
1.000000,1.520161,2.459826,0.000000
1.000000,0.150029,-0.224545,1.000000
1.000000,1.351046,2.113558,0.000000
1.000000,1.310000,1.907682,0.000000
1.000000,0.132704,0.985955,1.000000
1.000000,1.665212,2.144360,0.000000
1.000000,1.480227,2.199059,0.000000
1.000000,1.847484,1.347391,0.000000
1.000000,-0.634923,0.519229,1.000000
1.000000,1.865047,2.306064,0.000000
1.000000,-0.401782,0.312329,1.000000
1.000000,2.621000,1.432519,0.000000
1.000000,1.515167,1.687133,0.000000
1.000000,0.858915,0.439874,1.000000
1.000000,0.699076,-0.538252,1.000000
1.000000,2.301589,2.419624,0.000000
1.000000,-0.409118,-0.358833,1.000000
1.000000,2.502985,1.209453,0.000000
1.000000,2.523341,2.055903,0.000000
1.000000,2.829382,1.452337,0.000000
1.000000,2.026084,1.453948,0.000000
1.000000,-0.781117,0.125576,1.000000
1.000000,1.372890,2.767532,0.000000
1.000000,1.447299,2.524814,0.000000
1.000000,2.126435,2.195893,0.000000
1.000000,-0.473478,-0.808093,1.000000
1.000000,0.128049,0.670162,1.000000
1.000000,-0.839297,-0.264202,1.000000
1.000000,2.285911,1.553025,0.000000
1.000000,0.056135,0.600849,1.000000
1.000000,2.410895,1.809596,0.000000
1.000000,2.737858,1.813645,0.000000
1.000000,2.134279,1.661642,0.000000
1.000000,2.866053,2.269826,0.000000
1.000000,0.801319,-0.454634,1.000000
1.000000,0.265092,0.851619,1.000000
1.000000,0.717625,-0.311685,1.000000
1.000000,2.597753,2.471544,0.000000
1.000000,1.416057,2.034783,0.000000
1.000000,1.971428,1.882825,0.000000
1.000000,-0.708957,-0.193486,1.000000
1.000000,0.674746,-0.203945,1.000000
1.000000,0.246613,-0.927432,1.000000
1.000000,2.259761,2.245654,0.000000
1.000000,-0.579284,0.300552,1.000000
1.000000,-0.513520,-0.823260,1.000000
1.000000,1.297893,1.705700,0.000000
1.000000,-0.887545,0.254713,1.000000
1.000000,2.329044,2.245264,0.000000
1.000000,1.956868,2.651728,0.000000
1.000000,2.012619,2.134908,0.000000
1.000000,2.089712,1.975976,0.000000
1.000000,0.110863,0.656107,1.000000
1.000000,1.931928,2.870605,0.000000
1.000000,0.305109,-0.250770,1.000000
1.000000,2.249822,1.433886,0.000000
1.000000,0.710037,0.182082,1.000000
1.000000,0.787847,0.295639,1.000000
1.000000,-0.250828,0.880440,1.000000
1.000000,2.019468,2.105696,0.000000
1.000000,1.802043,2.331502,0.000000
1.000000,0.284873,-0.163410,1.000000
